issue_num,issue_title,option_num,option_text,Civil Rights,Economy,Political Freedom,Wealth Gaps,Death Rate,Compassion,Eco-Friendliness,Social Conservatism,Nudity,Industry: Automobile Manufacturing,Industry: Cheese Exports,Industry: Basket Weaving,Industry: Information Technology,Industry: Pizza Delivery,Industry: Trout Fishing,Industry: Arms Manufacturing,Sector: Agriculture,Industry: Beverage Sales,Industry: Timber Woodchipping,Industry: Mining,Industry: Insurance,Industry: Furniture Restoration,Industry: Retail,Industry: Book Publishing,Industry: Gambling,Sector: Manufacturing,Government Size,Welfare,Public Healthcare,Law Enforcement,Business Subsidization,Religiousness,Income Equality,Niceness,Rudeness,Intelligence,Ignorance,Political Apathy,Health,Cheerfulness,Weather,Compliance,Safety,Lifespan,Ideological Radicality,Defense Forces,Pacifism,Economic Freedom,Taxation,Freedom From Taxation,Corruption,Integrity,Authoritarianism,Employment,Public Transport,Tourism,Weaponization,Recreational Drug Use,Obesity,Secularism,Environmental Beauty,Charmlessness,Averageness,Human Development Index,Primitiveness,Scientific Advancement,Inclusiveness,Average Income,Average Income of Poor,Average Income of Rich,Public Education,Crime,Foreign Aid,Average Disposable Income,Patriotism,Food Quality,Accessibility,Youth Rebelliousness,Culture,policy_adds,policy_removes,policy_sometimes_adds,policy_sometimes_removes,notability_adds,notability_removes,notability_sometimes_adds,notability_sometimes_removes
0,#0 Should Democracy Be Compulsory?,1,1. voting is voluntary,-0.0019,0.0004,2.7774,-0.0006,-0.0102,0.0006,0.1492,0.0012,0.3016,0.2923,-0.2182,-0.1496,-0.3037,0.1643,-0.8635,0.0715,0.0322,0.556,0.6589,0.2984,0.0136,0.2377,0.3612,0.3935,-7.7132,0.2135,0.0,0.1098,0.0121,-0.0662,-0.0574,0.0231,-0.0002,0.0003,1.504,0.5518,-0.6628,1.739,-0.0002,-0.0001,-0.0066,0.076,1.0663,0.0053,-0.2679,0.0109,0.1214,-0.0011,0.0032,-0.0038,-1.0391,0.1276,-79.402,0.0011,0.0369,4.3349,-0.0029,0.3357,0.0002,0.001,-0.0905,-0.2516,0.2679,0.0015,0.0068,-0.0059,-0.0006,-6.6651,-1.3198,-22.1457,0.1656,-0.0564,0.0261,-6.3102,-1.2966,-0.0026,-0.0028,,,,,,,,,punitive income tax rates,
0,#0 Should Democracy Be Compulsory?,2,2. voting is compulsory,-0.0026,-0.002,-3.2549,-0.0014,0.0177,0.0005,0.0393,0.001,0.0194,-0.5023,-0.0746,-0.2225,-0.1938,-0.4654,-0.4082,-1.3241,-0.2051,-0.623,-0.2337,0.0088,0.4006,-0.117,-0.1052,0.0474,11.2987,-2.0488,0.0001,-0.0495,0.0442,-0.0044,0.0453,-0.0172,0.002,0.0003,-2.0096,-0.7398,0.7949,-1.3781,0.0019,,0.0054,-0.1139,-1.6087,-0.0075,-1.2334,-0.0299,-0.1626,-0.0032,-0.0023,0.005,0.4106,-0.1485,37.6366,0.001,0.0004,4.149,0.0046,-0.2219,-0.0014,0.0026,0.0459,-0.0944,1.2334,-0.0033,0.0016,0.001,0.0033,8.1118,5.8419,5.4069,0.1798,0.0887,0.0142,7.2536,0.8973,0.0001,0.0129,,,,,,,,,,
0,#0 Should Democracy Be Compulsory?,3,3. elections have been outlawed,0.0011,0.0054,-14.7936,0.0001,0.0982,0.0006,0.3967,-0.0002,0.0025,-1.3482,-0.3807,-0.6619,-0.1703,-0.4522,-0.8533,0.936,-0.2449,-0.1363,0.5186,-0.2509,-0.597,-0.6263,-0.4751,-0.6577,36.2076,-1.0742,0.0005,-0.1139,0.0099,0.1579,0.2024,,-0.0064,-0.0016,-9.3068,-2.8035,3.3595,-0.0002,-0.0001,-0.0014,-0.01,-0.4146,-5.1617,-0.0354,2.2436,0.5027,-0.5876,0.0037,-0.013,0.0203,6.0522,-0.578,401.6447,-0.0021,0.1279,-26.3209,0.0204,-0.003,-0.0001,,-0.1067,1.7256,-2.2436,-0.0108,-0.0204,0.0501,-0.0012,32.0658,15.2466,65.7774,-0.0438,0.2927,0.0046,28.8517,0.0026,0.0008,-0.0215,0.0006,0.0006,,Native Representation|Proportional Representation|Term Limits,Autocracy|Sortition,,,daily referendums,,restrictive gun laws
1,#1 Where's the Love Gone?,1,1/2. divorce is illegal,-5.955,-0.0011,-0.0069,0.0156,-0.2933,0.0009,0.2682,5.6631,-8.7014,2.3349,2.3808,3.0385,2.4806,1.8454,2.7314,0.5307,1.9516,-100.3906,3.0762,5.5703,59.9026,2.184,0.6463,2.6727,-50.397,5.9048,-0.0003,1.2733,1.3166,1.2883,0.3674,34.404,-0.0002,-0.5044,1.4485,-1.0835,1.299,0.0023,0.0021,-0.4648,-0.9897,0.4951,1.575,0.1013,-0.2935,0.4283,4.0041,0.0016,0.048,-0.0764,0.0077,-0.0004,75.2109,-0.0115,0.69,6.3468,-0.1213,-11.4874,-0.0165,-0.3299,-0.005,-0.595,0.2935,0.0335,,-0.0051,,-74.7672,-34.2836,-146.3563,1.4185,-0.4245,0.1718,-81.4972,0.196,0.0014,-2.0757,-0.9897,,,,Permanent Marriage,,,,punitive income tax rates|zero percent divorce rate,absence of drug laws
1,#1 Where's the Love Gone?,2,"3. married couples must call each other ""darling"" or risk a fine",-1.6445,0.0093,0.0005,0.0003,-0.0267,-0.0002,0.1247,1.5955,-3.1265,0.0019,0.0535,0.2516,0.8206,-0.8013,0.0718,2.522,0.3474,0.193,0.511,0.7303,0.0736,0.0656,-0.0629,0.0963,-4.5692,2.7742,0.0008,0.3575,0.3037,0.2033,0.151,0.1382,-0.0097,-0.0004,-1.4909,-0.2934,0.3792,0.0016,0.0024,,0.0,0.0493,0.1612,0.0113,-0.1474,1.3053,1.0033,0.0066,0.0024,-0.0048,-0.0,0.0,18.3778,0.0007,0.1597,2.0072,-0.0286,-2.6978,-0.001,0.0023,-0.0264,-0.1213,0.1474,0.0055,0.0035,-0.0023,-0.0167,4.3285,1.5862,9.3175,0.3645,-0.0426,0.1466,0.3259,0.0543,0.0009,-0.5807,,0.0014,,,,,,,restrictive gun laws,absence of drug laws
1,#1 Where's the Love Gone?,3,4. same-sex marriages are increasingly common,2.5149,0.0003,-0.0094,-0.001,0.0144,0.0015,0.0781,-2.6942,5.4526,1.6217,-0.1654,-0.063,0.0739,-0.2428,-1.0503,0.0423,-0.345,-0.2249,-0.0189,-0.0902,-0.2326,0.0713,-0.2201,-0.045,7.2962,1.6026,0.0005,0.1254,0.2089,0.2131,0.3613,-0.0003,0.0054,0.0013,-0.0045,0.4885,-0.5561,0.0019,0.0006,0.0002,-0.0036,-0.0744,-0.216,-0.0103,0.4904,0.1599,-1.7776,-0.0008,-0.0009,-0.0007,0.0006,-0.0003,-32.5039,-0.0002,0.095,-5.4607,0.0362,4.9485,-0.0001,0.0005,-0.0679,0.1813,-0.4904,-0.0027,-0.0057,0.0134,7.1398,7.1414,7.9382,2.2664,0.1781,0.0583,0.0604,4.6048,-0.1045,2.8473,5.5778,,,Marriage Equality,Heterosexuality,,,,avowedly heterosexual populace,absence of drug laws,punitive income tax rates|restrictive gun laws
2,#2 Reclaim the Streets!,1,1. cars are banned,-1.2724,-3.5625,-0.0092,-0.9805,-0.6705,0.0019,273.0636,1.2923,-2.3068,-1452.2701,45.9715,-87.7336,-62.8505,10.7225,313.7082,-25.325,94.775,-80.3262,-62.873,-71.9937,-73.2778,-56.5158,-60.7985,-79.0653,-86.2457,-1564.4002,0.1675,-86.2976,-61.5918,-56.3937,-15.291,0.0368,3.7597,0.0012,-3.1694,-0.2398,0.239,,0.373,,8.9132,0.37,1.2075,0.1713,0.4395,-63.4399,1.347,-3.6994,0.81,-2.5131,0.0003,-0.0001,130.8832,-1.1665,-43.1118,70.3422,-0.0254,-6.5188,-3.7194,0.0001,87.9759,-1.6529,-0.4395,-0.6406,23.2982,-23.5335,0.0052,-1701.2323,405.579,-8373.4396,-74.4004,-0.2765,-26.5796,-1505.5125,0.0431,0.5461,0.5176,,0.0005,No Automobiles,,,,ban on automobiles,clockwork self-driving vehicles|spontaneously combusting cars|unlimited-speed roads,exploding hoverboards|stringent health and safety legislation,"absence of drug laws|barren, inhospitable landscape|deadly medical pandemics|hatred of cheese may add or remove notability: punitive income tax rates may add or remove notability: restrictive gun laws"
2,#2 Reclaim the Streets!,2,2. bicyclists are banned from major roads,-0.0073,0.0026,-1.6705,0.0008,-0.0567,-0.0015,-1.9364,0.0085,-0.02,685.5371,-51.8597,-3.3861,-6.1849,-68.5137,-195.7334,-9.6375,-84.7891,-1.8163,-5.1624,-7.8713,-3.1629,-3.6937,-5.0813,-3.782,-57.3921,671.5157,0.1249,-2.3632,-3.5943,228.77,-4.3052,0.0541,-0.0039,-0.0016,-1.0928,-0.3804,0.4221,,0.0012,,-1.97,0.5152,2.6484,0.0146,-0.0978,-5.7902,0.7909,0.0026,0.4103,-0.9858,0.5247,-0.0688,41.072,0.0599,-2.2074,-2.6973,-0.02,-0.4726,0.0793,0.0,-24.7543,0.002,0.0978,0.0056,0.0005,-0.0003,0.0049,80.4888,40.2191,201.8064,-4.2197,-0.3823,-0.8684,-162.5266,-0.0012,-0.329,-0.9425,,0.0005,,,No Dissent may add or remove policy: Public Protest,,,,"barren, inhospitable landscape|hatred of cheese may add or remove notability: punitive income tax rates",
2,#2 Reclaim the Streets!,3,3. the automotive industry soaks up huge government handouts,-0.0085,1.8472,-0.0017,-0.0029,-0.2025,0.0011,5.8481,0.011,-0.025,1300.284,-101.2749,45.9436,47.8859,-34.365,-449.6536,46.7761,-170.5784,23.1334,33.4006,36.7822,37.0096,32.9693,34.3053,43.1517,35.7958,1391.7171,0.1198,23.4478,18.7677,21.3012,229.6382,-0.0518,-0.0013,0.0009,-0.0013,-0.0004,-0.0006,-0.0002,0.0014,,-5.9343,0.0007,0.0163,0.1212,-0.0048,25.4719,0.0406,-0.0002,0.5446,-1.1498,-0.0002,-0.0,-0.0207,0.0451,11.2026,-45.0551,-0.001,-0.2932,0.2171,0.0004,-73.9221,2.6242,0.0048,0.5398,-0.016,0.0069,0.0007,766.3633,348.4588,1960.5045,25.2306,-0.0005,4.903,285.9336,0.0009,-0.9898,-1.4414,,0.0008,,,,,,,"absence of drug laws|barren, inhospitable landscape|hatred of cheese may add or remove notability: punitive income tax rates",
3,#3 Harry Potter Censorship Row,1,1/2. Harry Potter books are banned,-2.8979,0.012,-0.0083,0.0014,-0.0322,-0.0003,3.5753,2.8002,-5.6843,11.5336,11.2758,15.9339,19.701,67.1969,14.273,31.3253,12.4373,8.5783,17.2595,22.7187,12.0413,14.3791,16.0453,-824.2027,16.0344,58.7889,0.0446,6.3346,8.4762,13.7778,7.8921,9.0941,-0.0129,-0.0007,0.0031,-1.3872,1.6172,-0.0003,-0.0003,-0.0002,-0.0307,-0.0261,-0.0135,0.013,0.0553,13.3468,1.6655,0.0106,0.4562,-0.9273,0.0037,-0.0004,55.086,-0.1472,4.9677,-1.0634,-0.0469,-5.1198,0.0143,-0.1037,-0.4592,-0.0198,-0.0553,-0.0737,0.5452,-0.5402,-0.0043,-302.9369,-133.9235,-713.9418,-67.5268,0.006,1.8717,-478.1044,0.0954,-0.0365,-1.1104,,0.0005,,,,,,,complete lack of public education may add or remove notability: punitive income tax rates|restrictive gun laws,absence of drug laws
